word,fre,len,Level,Word_Entropy,Word_Pronunciation_Complexity,Word_Polarity,Word_Sense_Count,Word_Complexity,Word_Morphology_encoded,IDF,TF_IDF,Flesch_Reading_Ease,word_length,syllable_count,is_stopword,synonym_count,hypernym_count,hyponym_count,semantic_category,polarity,subjectivity,vowel_count,consonant_count,part_of_speech,word_numerical
state,12,5,0,0.002532782,1,0.0,11,6,3411,8.787796878,1.0,121.22,5,1,0,11,10,124,15,0.0,0.0,2,3,5,4111
view,12,4,0,0.002532782,1,0.0,13,5,3858,8.787796878,1.0,121.22,4,1,0,13,13,51,9,0.0,0.0,2,2,5,4642
works,12,5,0,0.002532782,1,0.0,38,6,3962,8.787796878,1.0,121.22,5,1,0,38,32,207,6,0.0,0.0,1,4,7,4772
born,11,4,0,0.002532782,1,0.0,16,5,396,8.787796878,1.0,121.22,4,1,0,16,12,41,18,0.0,0.0,1,3,5,477
communication,11,13,0,0.002532782,5,0.0,3,18,665,8.787796878,1.0,-217.19,13,5,0,3,3,34,10,0.0,0.0,6,7,5,792
complex,11,7,0,0.002532782,2,-0.3,5,9,682,8.787796878,1.0,36.62,7,2,0,5,4,9,9,-0.3,0.4,2,5,2,811
days,11,4,0,0.002532782,1,0.0,11,5,884,8.787796878,1.0,121.22,4,1,0,11,9,61,28,0.0,0.0,1,3,7,1056
dickens,11,7,0,0.002532782,2,0.0,2,9,981,8.787796878,1.0,36.62,7,2,0,2,1,0,10,0.0,0.0,2,5,7,1179
drama,11,5,0,0.002532782,2,0.0,4,7,1069,8.787796878,1.0,36.62,5,2,0,4,4,12,10,0.0,0.0,2,3,5,1292
europe,11,6,0,0.002532782,2,0.0,3,8,1240,8.787796878,1.0,36.62,6,2,0,3,2,0,17,0.0,0.0,4,2,5,1495
face,11,4,0,0.002532782,1,0.0,22,5,1320,8.787796878,1.0,121.22,4,1,0,22,20,35,8,0.0,0.0,2,2,5,1603
feel,11,4,0,0.002532782,1,0.0,17,5,1364,8.787796878,1.0,121.22,4,1,0,17,13,28,9,0.0,0.0,2,2,5,1659
friend,11,6,0,0.002532782,1,0.0,5,7,1478,8.787796878,1.0,121.22,6,1,0,5,4,46,18,0.0,0.0,2,4,5,1785
jimmy,11,5,0,0.002532782,2,0.0,2,7,1976,8.787796878,1.0,36.62,5,2,0,2,2,0,6,0.0,0.0,1,4,5,2371
keller,11,6,0,0.002532782,2,0.0,1,8,2005,8.787796878,1.0,121.22,6,2,0,1,0,0,18,0.0,0.0,2,4,5,2402
level,11,5,0,0.002532782,2,0.0,19,7,2080,8.787796878,1.0,36.62,5,2,0,19,12,40,7,0.0,0.0,2,3,5,2495
major,11,5,0,0.002532782,2,0.0625,13,7,2172,8.787796878,1.0,36.62,5,2,0,13,4,0,18,0.0625,0.5,2,3,2,2602
process,11,7,0,0.002532782,2,0.0,13,9,2782,8.787796878,1.0,121.22,7,2,0,13,12,141,4,0.0,0.0,2,5,5,3328
reason,11,6,0,0.002532782,2,0.0,9,8,2919,8.787796878,1.0,36.62,6,2,0,9,8,22,16,0.0,0.0,3,3,5,3494
school,11,6,0,0.002532782,1,0.0,10,7,3170,8.787796878,1.0,121.22,6,1,0,10,9,38,14,0.0,0.0,2,4,5,3816
theory,11,6,0,0.002532782,2,0.0,3,8,3613,8.787796878,1.0,-47.99,6,3,0,3,3,18,9,0.0,0.0,2,4,5,4358
told,11,4,0,0.002532782,1,0.0,8,5,3584,8.787796878,1.0,121.22,4,1,0,8,7,45,33,0.0,0.0,1,3,5,4400
heads,11,5,1,0.002532782,1,0.0,42,6,1656,8.787796878,1.0,121.22,5,1,0,42,41,62,8,0.0,0.0,2,3,7,1994
account,11,7,1,0.002532782,2,0.0,14,9,29,8.787796878,1.0,36.62,7,2,0,14,12,52,10,0.0,0.0,3,4,5,33
whether,11,7,1,0.002532782,2,0.0,0,9,3927,8.787796878,1.0,121.22,7,2,0,0,0,0,29,0.0,0.0,2,5,1,4728
cylinder,11,8,1,0.002532782,3,0.0,4,11,858,8.787796878,1.0,36.62,8,3,0,4,4,11,25,0.0,0.0,2,6,5,1028
therefore,11,9,1,0.002532782,2,0.0,2,11,3614,8.787796878,1.0,36.62,9,2,0,2,0,0,2,0.0,0.0,4,5,8,4359
hamlet,11,6,2,0.002532782,2,0.0,3,8,1631,8.787796878,1.0,36.62,6,2,0,3,2,3,14,0.0,0.0,2,4,5,1962
merely,11,6,2,0.002532782,2,-0.5,1,8,2251,8.787796878,1.0,36.62,6,2,0,1,0,0,2,-0.5,0.5,2,4,8,2694
african,10,7,0,0.002532782,3,0.0,2,10,94,8.787796878,1.0,121.22,7,3,0,2,1,52,18,0.0,0.0,3,4,2,115
american,10,8,0,0.002532782,4,0.0,5,12,140,8.787796878,1.0,-47.99,8,4,0,5,2,75,18,0.0,0.0,4,4,2,165
country,10,7,0,0.002532782,2,0.0,5,9,800,8.787796878,1.0,36.62,7,2,0,5,5,67,14,0.0,0.0,2,5,5,959
creation,10,8,0,0.002532782,3,0.0,6,11,815,8.787796878,1.0,36.62,8,3,0,6,5,23,4,0.0,0.0,4,4,5,979
early,10,5,0,0.002532782,2,0.1,9,7,1096,8.787796878,1.0,36.62,5,2,0,9,0,0,0,0.1,0.3,2,3,8,1324
idea,10,4,0,0.002532782,3,0.0,5,7,1754,8.787796878,1.0,121.22,4,3,0,5,5,29,9,0.0,0.0,3,1,5,2104
issues,10,6,0,0.002532782,2,0.0,16,8,1964,8.787796878,1.0,36.62,6,2,0,16,14,57,9,0.0,0.0,3,3,7,2359
leads,10,5,0,0.002532782,1,0.0,31,6,2053,8.787796878,1.0,121.22,5,1,0,31,29,25,7,0.0,0.0,2,3,7,2469
matter,10,6,0,0.002532782,2,0.0,7,8,2221,8.787796878,1.0,36.62,6,2,0,7,7,31,9,0.0,0.0,2,4,5,2657
members,10,7,0,0.002532782,2,0.0,5,9,2239,8.787796878,1.0,36.62,7,2,0,5,5,37,18,0.0,0.0,2,5,7,2681
national,10,8,0,0.002532782,3,0.0,8,11,2383,8.787796878,1.0,-47.99,8,3,0,8,1,3,18,0.0,0.0,4,4,2,2845
pascal,10,6,0,0.002532782,2,0.0,3,8,2578,8.787796878,1.0,36.62,6,2,0,3,2,0,23,0.0,0.0,2,4,2,3077
plays,10,5,0,0.002532782,1,0.0,52,6,2672,8.787796878,1.0,121.22,5,1,0,52,38,155,10,0.0,0.0,1,4,7,3193
policeman,10,9,0,0.002532782,3,0.0,1,12,2700,8.787796878,1.0,-47.99,9,3,0,1,1,14,18,0.0,0.0,4,5,5,3227
role,10,4,0,0.002532782,1,0.0,4,5,3100,8.787796878,1.0,121.22,4,1,0,4,4,15,4,0.0,0.0,2,2,5,3737
sanskrit,10,8,0,0.002532782,2,0.0,1,10,3140,8.787796878,1.0,36.62,8,2,0,1,1,9,10,0.0,0.0,2,6,5,3780
short,10,5,0,0.002532782,1,0.0,23,6,3254,8.787796878,1.0,121.22,5,1,0,23,5,0,6,0.0,0.3,1,4,2,3916
thing,10,5,0,0.002532782,1,0.0,12,6,3618,8.787796878,1.0,121.22,5,1,0,12,12,24,26,0.0,0.0,1,4,5,4364
understand,10,10,0,0.002532782,3,0.0,5,13,3758,8.787796878,1.0,-47.99,10,3,0,5,2,13,32,0.0,0.0,3,7,5,4529
villagers,10,9,0,0.002532782,3,0.0,1,12,3863,8.787796878,1.0,36.62,9,3,0,1,1,0,18,0.0,0.0,3,6,7,4649
business,10,8,1,0.002532782,2,0.0,9,10,450,8.787796878,1.0,36.62,8,2,0,9,9,49,14,0.0,0.0,3,5,5,538
position,10,8,1,0.002532782,3,0.0,18,11,2714,8.787796878,1.0,-47.99,8,3,0,18,16,323,15,0.0,0.0,4,4,5,3242
narrative,10,9,1,0.002532782,3,0.0,2,12,2379,8.787796878,1.0,-47.99,9,3,0,2,1,6,10,0.0,0.0,4,5,2,2840
perspective,10,11,1,0.002532782,3,0.0,2,14,2628,8.787796878,1.0,-47.99,11,3,0,2,2,8,9,0.0,0.0,4,7,5,3137
phenomenon,10,10,2,0.002532782,4,0.0,2,14,2635,8.787796878,1.0,-132.59,10,4,0,2,2,7,3,0.0,0.0,4,6,5,3147
actual,9,6,0,0.002532782,3,0.0,5,9,51,8.787796878,1.0,-47.99,6,3,0,5,0,0,0,0.0,0.1,3,3,2,62
body,9,4,0,0.002532782,2,0.0,12,6,389,8.787796878,1.0,121.22,4,2,0,12,10,52,8,0.0,0.0,1,3,5,467
books,9,5,0,0.002532782,1,0.0,15,6,393,8.787796878,1.0,121.22,5,1,0,15,12,51,10,0.0,0.0,2,3,7,473
chess,9,5,0,0.002532782,1,0.0,2,6,549,8.787796878,1.0,121.22,5,1,0,2,2,1,20,0.0,0.0,1,4,5,655
cords,9,5,0,0.002532782,1,0.0,7,6,784,8.787796878,1.0,121.22,5,1,0,7,7,31,6,0.0,0.0,1,4,7,938
daily,9,5,0,0.002532782,2,0.0,5,7,860,8.787796878,1.0,36.62,5,2,0,5,1,0,10,0.0,0.0,2,3,2,1030
dark,9,4,0,0.002532782,1,-0.15,16,5,872,8.787796878,1.0,121.22,4,1,0,16,5,7,26,-0.15,0.4,1,3,5,1043
deal,9,4,0,0.002532782,1,0.0,22,5,887,8.787796878,1.0,121.22,4,1,0,22,21,47,4,0.0,0.0,2,2,5,1059
finds,9,5,0,0.002532782,1,0.0,18,6,1394,8.787796878,1.0,121.22,5,1,0,18,13,29,9,0.0,0.0,1,4,7,1691
forms,9,5,0,0.002532782,1,0.0,23,6,1442,8.787796878,1.0,121.22,5,1,0,23,23,143,10,0.0,0.0,1,4,7,1750
greek,9,5,0,0.002532782,1,0.0,3,6,1599,8.787796878,1.0,121.22,5,1,0,3,2,21,10,0.0,0.0,2,3,5,1924
held,9,4,0,0.002532782,1,0.0,37,5,1708,8.787796878,1.0,121.22,4,1,0,37,27,88,43,0.0,0.0,1,3,5,2011
